d	kappa
-3084	3084
-3083	3083
-3081	3081
-3080	3080
-3079	3079
-3078	3078
-3077	3077
-3076	3076
-3075	3075
-3074	3074
-3073	3073
-3072	3072
-3071	3071
-3070	3070
-3068	3068
-3067	3067
-3066	3066
-3064	3064
-3063	3063
-3062	3062
-3060	3060
-3059	3059
-3058	3058
-3057	3057
-3056	3056
-3055	3055
-3054	3054
-3053	3053
-3052	3052
-3051	3051
-3050	3050
-3049	3049
-3048	3048
-3047	3047
-3046	3046
-3045	3045
-3044	3044
-3043	3043
-3042	3042
-3041	3041
-3040	3040
-3039	3039
-3038	3038
-3037	3037
-3036	3036
-3035	3035
-3034	3034
-3033	3033
-3032	3032
-3031	3031
-3030	3030
-3029	3029
-3028	3028
-3027	3027
-3026	3026
-3025	3025
-3024	3024
-3023	3023
-3022	3022
-3021	3021
-3020	3020
-3019	3019
-3018	3018
-3017	3017
-3016	3016
-3015	3015
-3014	3014
-3012	3012
-3011	3011
-3008	3008
-3003	3003
-3000	3000
-2999	2999
-2997	2997
-2996	2996
-2995	2995
-2994	2994
-2993	2993
-2992	2992
-2991	2991
-2990	2990
-2988	2988
-2987	2987
-2984	2984
-2982	2982
-2979	2979
-2978	2978
-2976	2976
-2975	2975
-2974	2974
-2973	2973
-2972	2972
-2971	2971
-2970	2970
-2969	2969
-2968	2968
-2967	2967
-2966	2966
-2964	2964
-2963	2963
-2961	2961
-2960	2960
-2958	2958
-2957	2957
-2955	2955
-2954	2954
-2953	2953
-2952	2952
-2951	2951
-2950	2950
-2949	2949
-2948	2948
-2947	2947
-2946	2946
-2945	2945
-2944	2944
-2943	2943
-2942	2942
-2940	2940
-2939	2939
-2937	2937
-2936	2936
-2934	2934
-2933	2933
-2932	2932
-2931	2931
-2930	2930
-2929	2929
-2928	2928
-2927	2927
-2926	2926
-2925	2925
-2924	2924
-2923	2923
-2922	2922
-2921	2921
-2920	2920
-2919	2919
-2918	2918
-2916	2916
-2915	2915
-2913	2913
-2912	2912
-2911	2911
-2910	2910
-2908	2908
-2907	2907
-2904	2904
-2898	2898
-2895	2895
-2894	2894
-2892	2892
-2891	2891
-2890	2890
-2889	2889
-2888	2888
-2887	2887
-2886	2886
-2884	2884
-2883	2883
-2880	2880
-2877	2877
-2874	2874
-2873	2873
-2871	2871
-2870	2870
-2869	2869
-2868	2868
-2867	2867
-2866	2866
-2865	2865
-2864	2864
-2863	2863
-2862	2862
-2860	2860
-2859	2859
-2856	2856
-2853	2853
-2852	2852
-2850	2850
-2849	2849
-2848	2848
-2847	2847
-2846	2846
-2845	2845
-2844	2844
-2843	2843
-2842	2842
-2841	2841
-2840	2840
-2839	2839
-2838	2838
-2836	2836
-2835	2835
-2832	2832
-2831	2831
-2829	2829
-2828	2828
-2827	2827
-2826	2826
-2825	2825
-2824	2824
-2823	2823
-2822	2822
-2821	2821
-2820	2820
-2819	2819
-2818	2818
-2817	2817
-2816	2816
-2815	2815
-2814	2814
-2812	2812
-2811	2811
-2810	2810
-2808	2808
-2807	2807
-2806	2806
-2804	2804
-2803	2803
-2800	2800
-2793	2793
-2790	2790
-2789	2789
-2787	2787
-2786	2786
-2785	2785
-2784	2784
-2783	2783
-2782	2782
-2780	2780
-2779	2779
-2776	2776
-2772	2772
-2771	3395
-2769	2769
-2768	2768
-2767	3391
-2766	2766
-2765	2765
-2764	2764
-2763	2763
-2762	2762
-2761	2761
-2760	2760
-2759	2759
-2758	2758
-2757	3387
-2756	2756
-2755	2755
-2754	3378
-2753	3383
-2752	2752
-2751	2751
-2750	3374
-2749	3379
-2748	2748
-2747	2747
-2746	3370
-2745	2745
-2744	2744
-2743	2743
-2742	2742
-2741	2741
-2740	2740
-2739	2739
-2738	2738
-2737	2737
-2736	2736
-2735	2735
-2734	2734
-2733	3357
-2732	2732
-2731	2731
-2730	2730
-2729	3353
-2728	2728
-2727	2727
-2726	2726
-2725	3349
-2724	2724
-2723	2723
-2722	2722
-2721	2721
-2720	2720
-2719	2719
-2718	2718
-2717	2717
-2716	2716
-2715	2715
-2714	2714
-2713	2713
-2712	2712
-2711	2711
-2710	2710
-2709	2709
-2708	2708
-2707	2707
-2706	2706
-2705	2705
-2704	2704
-2703	2703
-2702	2702
-2701	3331
-2700	2700
-2699	2699
-2698	3370
-2697	3327
-2696	2696
-2695	3367
-2694	3366
-2693	3323
-2692	3364
-2691	3315
-2690	3362
-2689	3361
-2688	2688
-2687	3311
-2686	3358
-2685	2685
-2684	2684
-2683	3307
-2682	2682
-2681	2681
-2680	2680
-2679	2679
-2678	2678
-2677	3307
-2676	2676
-2675	2675
-2673	3303
-2672	2672
-2670	3294
-2669	3299
-2668	3500
-2667	2667
-2666	3290
-2665	3497
-2664	2664
-2663	2663
-2662	3286
-2661	2661
-2660	2660
-2659	2659
-2658	2658
-2657	2657
-2656	2656
-2655	2655
-2654	2654
-2653	3283
-2652	2652
-2651	2651
-2650	3482
-2649	3273
-2648	2648
-2647	3479
-2646	2646
-2645	3269
-2644	3476
-2643	2643
-2642	2642
-2641	3265
-2640	2640
-2639	2639
-2638	2638
-2637	2637
-2636	2636
-2635	2635
-2634	2634
-2633	2633
-2632	2632
-2631	2631
-2630	2630
-2629	3259
-2628	2628
-2627	2627
-2626	3458
-2625	2625
-2624	2624
-2623	3455
-2622	2622
-2621	2621
-2620	3244
-2619	2619
-2618	2618
-2617	2617
-2616	2616
-2615	2615
-2614	2614
-2613	2613
-2612	2612
-2611	2611
-2610	2610
-2609	2609
-2608	2608
-2607	2607
-2606	2606
-2605	3235
-2604	2604
-2603	2603
-2602	3434
-2601	2601
-2600	2600
-2599	3223
-2598	2598
-2597	3227
-2596	2596
-2595	2595
-2594	3266
-2593	3223
-2592	2592
-2591	3263
-2590	3262
-2589	3219
-2588	3260
-2587	3259
-2586	3210
-2585	3257
-2584	3256
-2583	2583
-2582	3206
-2581	3413
-2580	2580
-2579	2579
-2578	3202
-2577	2577
-2576	2576
-2575	2575
-2574	2574
-2573	3203
-2572	2572
-2571	2571
-2570	3410
-2569	3199
-2568	2568
-2567	3407
-2566	3398
-2565	3189
-2564	3404
-2563	3395
-2562	2562
-2561	3185
-2560	3392
-2559	2559
-2558	2558
-2557	3181
-2556	2556
-2555	2555
-2554	2554
-2553	2553
-2552	2552
-2551	2551
-2550	2550
-2549	3179
-2548	2548
-2547	2547
-2546	3386
-2545	3175
-2544	2544
-2543	3383
-2542	3374
-2541	2541
-2540	3164
-2539	3371
-2538	2538
-2537	2537
-2536	3160
-2535	2535
-2534	2534
-2533	2533
-2532	2532
-2531	2531
-2530	2530
-2529	2529
-2528	2528
-2527	2527
-2526	2526
-2525	3155
-2524	2524
-2523	2523
-2522	3362
-2521	3151
-2520	2520
-2519	3143
-2518	3350
-2517	2517
-2516	2516
-2515	3139
-2514	2514
-2513	2513
-2512	2512
-2511	2511
-2510	2510
-2509	2509
-2508	2508
-2507	2507
-2506	2506
-2505	2505
-2504	2504
-2503	2503
-2502	2502
-2501	3131
-2500	2500
-2499	2499
-2498	3122
-2497	3127
-2496	2496
-2495	2495
-2494	3118
-2493	3123
-2492	2492
-2491	2491
-2490	3162
-2489	3119
-2488	2488
-2487	3159
-2486	3158
-2485	3115
-2484	3156
-2483	3155
-2482	3154
-2481	3105
-2480	3152
-2479	3151
-2478	2478
-2477	3101
-2476	3148
-2475	2475
-2474	2474
-2473	3097
-2472	2472
-2471	2471
-2470	2470
-2469	3099
-2468	2468
-2467	2467
-2466	3306
-2465	3095
-2464	2464
-2463	3303
-2461	3091
-2460	3084
-2459	3707
-2458	3290
-2457	2457
-2456	3080
-2455	3287
-2454	2454
-2453	2453
-2452	3076
-2451	2451
-2450	2450
-2449	2449
-2448	2448
-2447	2447
-2446	2446
-2445	3075
-2444	2444
-2443	2443
-2442	3282
-2441	3071
-2440	2440
-2439	3063
-2438	3686
-2437	3067
-2436	2436
-2435	3059
-2434	3266
-2433	2433
-2432	2432
-2431	3055
-2430	2430
-2429	2429
-2428	2428
-2427	2427
-2426	2426
-2425	2425
-2424	2424
-2423	2423
-2422	2422
-2421	3051
-2420	2420
-2419	2419
-2418	3042
-2417	3047
-2416	2416
-2415	2415
-2414	3038
-2413	3043
-2412	2412
-2411	2411
-2410	3034
-2409	2409
-2408	2408
-2407	2407
-2406	2406
-2405	2405
-2404	2404
-2403	2403
-2402	2402
-2401	2401
-2400	2400
-2399	2399
-2398	2398
-2397	3021
-2396	2396
-2395	2395
-2394	2394
-2393	3017
-2392	2392
-2391	2391
-2390	2390
-2389	3019
-2388	2388
-2387	2387
-2386	3058
-2385	3015
-2384	2384
-2383	3055
-2382	3054
-2381	3011
-2380	3052
-2379	3051
-2378	3050
-2377	3049
-2376	3000
-2375	3047
-2374	3046
-2373	2373
-2372	2996
-2371	3043
-2370	2370
-2369	2369
-2368	2992
-2367	2367
-2366	2366
-2365	2995
-2364	2364
-2363	2363
-2362	3202
-2361	2991
-2360	2360
-2359	3199
-2358	3606
-2357	2987
-2356	3188
-2355	2979
-2354	3602
-2353	3185
-2352	2352
-2351	2975
-2350	3182
-2349	2349
-2348	2348
-2347	2971
-2346	2346
-2345	2345
-2344	2344
-2343	2343
-2342	2342
-2341	2971
-2340	2340
-2339	2339
-2338	3178
-2337	2967
-2336	2336
-2335	3167
-2334	2958
-2333	2963
-2332	3164
-2331	2331
-2330	2954
-2329	3161
-2328	2328
-2327	2327
-2326	2950
-2325	2325
-2324	2324
-2323	2323
-2322	2322
-2321	2321
-2320	2320
-2319	2319
-2318	2318
-2317	2947
-2316	2316
-2315	2315
-2314	3146
-2313	2937
-2312	2312
-2311	3143
-2310	2310
-2309	2933
-2308	3140
-2307	2307
-2306	2306
-2305	2929
-2304	2304
-2303	2303
-2302	2302
-2301	2301
-2300	2300
-2299	2299
-2298	2298
-2297	2297
-2296	2296
-2295	2295
-2294	2294
-2293	2923
-2292	2292
-2291	2291
-2290	3122
-2289	2289
-2288	2288
-2287	3119
-2286	2286
-2285	2915
-2284	2908
-2283	2283
-2282	2954
-2281	2911
-2280	2280
-2279	2951
-2278	2950
-2277	2907
-2276	2948
-2275	2947
-2274	2946
-2273	2945
-2272	2944
-2271	2895
-2270	2942
-2269	3101
-2268	2268
-2267	2891
-2266	3098
-2265	2265
-2264	2264
-2263	2887
-2262	2262
-2261	2891
-2260	2260
-2259	2259
-2258	3098
-2257	2887
-2256	2256
-2255	3095
-2254	3514
-2253	2883
-2252	3092
-2251	3083
-2250	2874
-2249	3497
-2248	3080
-2247	2247
-2246	2870
-2245	3077
-2244	2244
-2243	2243
-2242	2866
-2241	2241
-2240	2240
-2239	2239
-2238	2238
-2237	2867
-2236	2236
-2235	2235
-2234	3074
-2233	2863
-2232	2232
-2231	3071
-2230	3062
-2229	2853
-2228	3068
-2227	3059
-2226	2226
-2225	2849
-2224	3056
-2223	2223
-2222	2222
-2221	2845
-2220	2220
-2219	2219
-2218	2218
-2217	2217
-2216	2216
-2215	2215
-2214	2214
-2213	2843
-2212	2212
-2211	2211
-2210	3050
-2209	2839
-2208	2208
-2207	3047
-2206	3038
-2205	2205
-2204	2828
-2203	3035
-2202	2202
-2201	2201
-2200	2824
-2199	2199
-2198	2198
-2197	2197
-2196	2196
-2195	2195
-2194	2194
-2193	2193
-2192	2192
-2191	2191
-2190	2190
-2189	2819
-2188	2188
-2187	2187
-2186	3026
-2185	2815
-2184	2184
-2183	2807
-2182	3014
-2181	2811
-2180	2180
-2179	2803
-2178	2850
-2177	2807
-2176	2176
-2175	2847
-2174	2846
-2173	2803
-2172	2844
-2171	2843
-2170	2842
-2169	2841
-2168	2840
-2167	2839
-2166	2790
-2165	3413
-2164	2836
-2163	2163
-2162	2786
-2161	2993
-2160	2160
-2159	2159
-2158	2782
-2157	2787
-2156	2156
-2155	2155
-2154	2994
-2153	2783
-2152	2152
-2151	2991
-2150	3410
-2149	2779
-2148	2988
-2147	3491
-2146	2978
-2145	2769
-2144	3392
-2143	2975
-2142	2142
-2141	2765
-2140	2972
-2139	2139
-2138	2138
-2137	2761
-2136	2136
-2135	2135
-2134	2134
-2133	2763
-2132	2132
-2131	2131
-2130	2970
-2129	2759
-2128	2128
-2127	2967
-2126	3386
-2125	2755
-2124	2748
-2123	3371
-2122	2954
-2121	2121
-2120	2744
-2119	2951
-2118	2118
-2117	2117
-2116	2740
-2115	2115
-2114	2114
-2113	2113
-2112	2112
-2111	2111
-2110	2110
-2109	2739
-2108	2108
-2107	2107
-2106	2946
-2105	2735
-2104	2104
-2103	2727
-2102	3350
-2101	2731
-2100	2100
-2099	2723
-2098	2930
-2097	2097
-2096	2096
-2095	2719
-2094	2094
-2093	2093
-2092	2092
-2091	2091
-2090	2090
-2089	2089
-2088	2088
-2087	2087
-2086	2086
-2085	2715
-2084	2084
-2083	2083
-2082	2706
-2081	2711
-2080	2080
-2079	2079
-2078	2702
-2077	2707
-2076	2076
-2075	2075
-2074	3334
-2073	2703
-2072	2072
-2071	2743
-2070	2742
-2069	2699
-2068	2740
-2067	2739
-2066	2738
-2065	2737
-2064	2736
-2063	2735
-2062	2734
-2061	2685
-2060	2732
-2059	2731
-2058	2058
-2057	2681
-2056	2728
-2055	2055
-2054	2054
-2053	3307
-2052	2052
-2051	2051
-2050	2890
-2049	2679
-2048	2048
-2047	2887
-2046	3306
-2045	2675
-2044	2884
-2043	3291
-2042	3302
-2041	2873
-2040	2664
-2039	3287
-2038	2870
-2037	2037
-2036	2660
-2035	2867
-2034	2034
-2033	2033
-2032	2656
-2031	2031
-2030	2030
-2029	2659
-2028	2028
-2027	2027
-2026	2866
-2025	2655
-2024	2024
-2023	2863
-2022	3270
-2021	2651
-2020	2852
-2019	2643
-2018	3266
-2017	2849
-2016	2016
-2015	2639
-2014	2846
-2013	2013
-2012	2012
-2011	2635
-2010	2010
-2009	2009
-2008	2008
-2007	2007
-2006	2006
-2005	2635
-2004	2004
-2003	2003
-2002	2842
-2001	2631
-2000	2000
-1999	2831
-1998	2622
-1997	2627
-1996	2828
-1995	1995
-1994	2618
-1993	2825
-1992	1992
-1991	1991
-1990	2614
-1989	1989
-1988	1988
-1987	1987
-1986	1986
-1985	1985
-1984	1984
-1983	1983
-1982	1982
-1981	2611
-1980	1980
-1979	1979
-1978	2810
-1977	2601
-1976	1976
-1975	2807
-1974	1974
-1973	2603
-1972	2804
-1971	1971
-1970	2642
-1969	3223
-1968	1968
-1967	2639
-1966	2638
-1965	2595
-1964	2636
-1963	2635
-1962	2634
-1961	2633
-1960	2632
-1959	2631
-1958	2630
-1957	2789
-1956	2580
-1955	2627
-1954	2786
-1953	1953
-1952	2576
-1951	2783
-1950	1950
-1949	2579
-1948	2572
-1947	1947
-1946	2786
-1945	2575
-1944	1944
-1943	2783
-1942	3202
-1941	2571
-1940	2780
-1939	3283
-1938	3186
-1937	3281
-1936	2768
-1935	2559
-1934	3182
-1933	2765
-1932	1932
-1931	2555
-1930	2762
-1929	1929
-1928	1928
-1927	2551
-1926	1926
-1925	2555
-1924	1924
-1923	1923
-1922	2762
-1921	2551
-1920	1920
-1919	2759
-1918	3178
-1917	2547
-1916	2756
-1915	2747
-1914	2538
-1913	3161
-1912	2744
-1911	1911
-1910	2534
-1909	2741
-1908	1908
-1907	1907
-1906	2530
-1905	1905
-1904	1904
-1903	1903
-1902	1902
-1901	2531
-1900	1900
-1899	1899
-1898	2738
-1897	2527
